"COOK, IL  [COUNTY, 17031]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 22 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",10.664,10.269,11.027,11.861,11.504,10.890,10.090,9.811,9.611,10.160,10.012,10.215,11.181,11.028,10.212,9.593,9.208,9.436,9.172,9.121,9.306,9.962,10.735,11.002,10.783,10.699,10.210,9.505,8.853,8.684,8.315,7.652,7.354,7.044,6.581,6.477,6.200,6.102,6.273,6.248,6.270,5.800,5.941,6.187,6.358,6.251,6.101,6.151,5.964,5.912,5.877,5.472,5.337,5.482,5.467,5.326,5.259,5.170,5.073,4.985,4.911,4.833,4.759,4.676,4.586,4.496,4.401,4.278,4.133,3.996,3.866
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 23 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",10.963,10.792,10.431,11.250,12.080,11.676,11.145,10.348,9.993,9.886,10.337,10.079,10.291,11.253,11.066,10.103,9.530,9.199,9.309,9.153,9.084,9.513,10.231,11.003,11.272,11.045,10.864,10.324,9.758,9.098,8.872,8.261,7.652,7.442,7.127,6.658,6.547,6.268,6.172,6.337,6.313,6.334,5.862,6.002,6.247,6.418,6.312,6.160,6.203,6.019,5.965,5.931,5.527,5.374,5.522,5.505,5.361,5.291,5.200,5.100,5.011,4.936,4.857,4.781,4.696,4.605,4.515,4.419,4.295,4.149,4.011
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 24 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",11.638,11.246,11.036,10.744,11.537,12.369,12.018,11.441,10.577,10.265,10.134,10.214,9.929,10.253,11.132,10.931,9.994,9.462,9.090,9.220,9.053,9.146,9.610,10.366,11.070,11.292,10.921,10.861,10.404,9.861,9.184,8.531,8.038,7.540,7.320,7.012,6.544,6.425,6.152,6.062,6.221,6.193,6.216,5.751,5.884,6.127,6.298,6.190,6.037,6.076,5.897,5.837,5.808,5.412,5.253,5.400,5.381,5.236,5.165,5.074,4.973,4.885,4.808,4.729,4.653,4.568,4.478,4.388,4.292,4.171,4.026
"  BLACK NON-HISPANIC FEMALE POPULATION AGE 25 to 29 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",61.456,60.289,58.909,57.489,55.948,55.484,56.076,56.737,56.787,56.632,55.032,52.216,50.068,48.476,47.885,48.466,49.239,49.029,48.623,47.673,46.015,45.679,45.815,46.262,47.576,49.276,51.178,52.312,53.682,53.995,52.972,48.770,45.609,42.830,40.201,38.044,36.375,34.630,33.159,31.890,30.761,30.034,29.632,29.333,28.853,28.627,28.533,28.638,28.611,28.843,28.982,28.723,28.231,27.842,27.228,26.448,25.907,25.402,24.770,24.417,24.237,23.808,23.325,22.905,22.483,22.078,21.683,21.293,20.889,20.471,20.018
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 25 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",11.697,11.604,11.165,10.983,10.677,11.460,12.328,11.988,11.360,10.565,10.231,10.099,10.200,9.835,10.200,11.017,10.810,9.889,9.472,9.132,9.172,9.123,9.185,9.588,10.379,11.050,11.259,10.890,10.789,10.393,9.918,8.620,8.199,7.823,7.332,7.106,6.808,6.346,6.228,5.957,5.872,6.024,5.995,6.015,5.560,5.692,5.927,6.093,5.985,5.837,5.870,5.696,5.633,5.609,5.228,5.066,5.209,5.187,5.046,4.974,4.885,4.786,4.699,4.624,4.546,4.472,4.388,4.300,4.213,4.119,4.002
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 26 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",11.910,11.621,11.476,11.002,10.740,10.406,11.138,11.928,11.517,10.920,10.221,10.073,9.867,9.950,9.538,9.951,10.778,10.629,9.599,9.319,8.975,9.224,9.199,9.235,9.569,10.363,11.076,11.160,10.880,10.852,10.470,9.329,8.418,8.069,7.743,7.280,7.047,6.782,6.392,6.285,5.999,5.895,6.016,5.962,5.978,5.542,5.677,5.890,6.053,5.942,5.787,5.812,5.622,5.574,5.552,5.188,4.923,5.079,5.051,4.909,4.835,4.744,4.647,4.559,4.485,4.408,4.333,4.251,4.164,4.078,3.989
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 27 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",12.405,11.889,11.686,11.537,10.996,10.770,10.422,11.198,11.932,11.571,10.905,10.043,9.939,9.714,9.711,9.403,9.813,10.788,10.566,9.606,9.272,8.950,9.289,9.205,9.223,9.507,10.288,10.912,11.063,10.820,10.809,9.882,9.077,8.289,7.936,7.611,7.152,6.915,6.650,6.262,6.151,5.870,5.767,5.883,5.830,5.847,5.420,5.549,5.763,5.919,5.811,5.656,5.677,5.492,5.447,5.424,5.067,4.802,4.955,4.927,4.786,4.713,4.623,4.527,4.441,4.367,4.290,4.217,4.135,4.049,3.965
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 28 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",11.898,11.684,11.352,11.268,11.125,10.728,10.601,10.337,11.150,11.985,11.634,10.660,9.716,9.564,9.220,9.215,8.901,9.204,10.070,9.900,9.207,9.172,8.945,9.292,9.164,9.259,9.388,10.130,10.847,11.023,10.765,10.383,9.653,8.983,8.196,7.843,7.518,7.063,6.824,6.562,6.177,6.068,5.788,5.687,5.801,5.748,5.765,5.344,5.471,5.681,5.838,5.729,5.577,5.597,5.412,5.368,5.349,4.995,4.732,4.884,4.856,4.718,4.646,4.557,4.462,4.377,4.304,4.229,4.156,4.076,3.993
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 29 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",13.546,13.491,13.230,12.699,12.410,12.120,11.587,11.286,10.828,11.591,12.041,11.341,10.346,9.413,9.216,8.880,8.937,8.519,8.916,9.716,9.389,9.210,9.197,8.942,9.241,9.097,9.167,9.220,10.103,10.907,11.010,10.556,10.262,9.666,8.994,8.204,7.850,7.524,7.065,6.824,6.562,6.177,6.066,5.786,5.684,5.798,5.744,5.762,5.339,5.464,5.676,5.830,5.722,5.570,5.589,5.402,5.359,5.339,4.986,4.723,4.875,4.847,4.710,4.638,4.549,4.454,4.368,4.296,4.221,4.149,4.069
"  BLACK NON-HISPANIC FEMALE POPULATION AGE 30 to 34 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",63.890,64.066,64.285,64.212,63.169,61.606,60.358,58.638,56.957,55.429,54.523,54.422,54.368,53.264,51.856,49.489,46.888,45.013,43.745,43.970,44.853,45.326,45.752,46.105,45.775,44.977,44.307,43.868,43.853,45.130,46.843,48.445,49.610,50.906,50.725,48.917,46.452,43.891,41.164,38.580,36.420,34.785,33.127,31.690,30.428,29.316,28.566,28.140,27.841,27.396,27.177,27.058,27.153,27.124,27.346,27.467,27.198,26.740,26.371,25.803,24.963,24.463,23.979,23.373,23.037,22.868,22.457,21.998,21.602,21.201,20.819
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 30 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",13.295,13.040,13.132,12.946,12.460,12.233,12.090,11.640,11.362,11.033,11.629,11.765,11.187,10.263,9.373,9.215,8.996,9.119,8.755,9.169,9.895,9.315,9.195,9.111,8.872,9.148,8.936,8.965,9.142,9.974,10.811,10.668,10.269,10.112,9.522,8.856,8.073,7.719,7.396,6.944,6.704,6.449,6.066,5.955,5.679,5.582,5.692,5.639,5.656,5.242,5.368,5.575,5.727,5.622,5.471,5.490,5.308,5.264,5.249,4.902,4.642,4.793,4.766,4.631,4.561,4.474,4.380,4.297,4.227,4.154,4.083
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 31 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",12.828,12.882,12.621,12.644,12.419,11.828,11.603,11.438,10.942,10.668,10.413,11.346,11.461,10.890,9.921,9.129,8.949,8.756,8.872,8.552,9.062,9.823,9.332,9.199,9.131,8.793,9.026,8.829,8.814,9.096,9.849,10.701,10.442,10.183,10.024,9.435,8.775,7.996,7.641,7.317,6.869,6.629,6.375,5.997,5.887,5.613,5.517,5.625,5.572,5.590,5.178,5.303,5.509,5.659,5.556,5.407,5.425,5.244,5.202,5.188,4.844,4.588,4.738,4.711,4.578,4.508,4.422,4.330,4.249,4.179,4.107
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 32 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",12.458,12.795,12.964,12.706,12.756,12.522,11.976,11.812,11.680,11.207,10.879,10.233,11.226,11.367,10.743,9.822,9.081,8.909,8.798,8.978,8.645,8.962,9.777,9.257,9.072,8.979,8.632,8.874,8.696,8.716,8.990,9.821,10.665,10.538,10.276,10.110,9.515,8.846,8.054,7.691,7.363,6.910,6.664,6.409,6.026,5.914,5.638,5.541,5.647,5.592,5.611,5.197,5.320,5.530,5.679,5.575,5.425,5.442,5.260,5.216,5.203,4.858,4.600,4.751,4.723,4.589,4.518,4.433,4.340,4.258,4.189
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 33 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",12.495,12.285,12.657,12.718,12.366,12.312,12.046,11.449,11.273,11.076,10.581,10.719,10.001,11.012,11.048,10.535,9.604,8.859,8.688,8.734,8.807,8.558,8.959,9.653,9.154,8.985,8.884,8.476,8.817,8.619,8.677,8.790,9.556,10.515,10.389,10.129,9.963,9.372,8.710,7.927,7.566,7.242,6.793,6.549,6.300,5.921,5.812,5.539,5.443,5.546,5.491,5.510,5.105,5.226,5.433,5.581,5.478,5.331,5.348,5.168,5.126,5.116,4.776,4.521,4.671,4.644,4.511,4.444,4.359,4.268,4.188
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 34 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",12.814,13.064,12.911,13.198,13.168,12.711,12.643,12.299,11.700,11.445,11.021,10.359,10.493,9.732,10.771,10.788,10.258,9.370,8.632,8.537,8.444,8.668,8.489,8.885,9.546,9.072,8.829,8.724,8.384,8.725,8.516,8.465,8.678,9.558,10.514,10.387,10.126,9.958,9.363,8.701,7.918,7.555,7.229,6.780,6.536,6.286,5.907,5.796,5.523,5.426,5.529,5.473,5.492,5.087,5.207,5.414,5.562,5.459,5.312,5.329,5.148,5.108,5.099,4.759,4.504,4.653,4.626,4.494,4.427,4.342,4.252
"  BLACK NON-HISPANIC FEMALE POPULATION AGE 35 to 39 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",56.176,57.709,59.765,61.581,62.754,63.131,63.070,62.652,62.334,61.216,59.781,57.574,55.273,53.509,51.242,50.166,50.168,50.187,49.396,48.675,46.798,44.562,43.245,42.315,42.188,42.770,43.170,42.983,42.983,42.749,42.039,41.617,41.198,41.690,43.304,45.438,47.425,49.163,50.399,50.159,48.316,45.828,43.232,40.499,37.913,35.741,34.108,32.452,31.016,29.748,28.636,27.877,27.436,27.129,26.683,26.452,26.341,26.436,26.404,26.618,26.738,26.470,26.024,25.671,25.119,24.301,23.816,23.342,22.746,22.420,22.256
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 35 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",12.474,12.618,13.020,12.908,13.259,13.258,12.913,12.872,12.694,12.111,11.825,10.817,10.253,10.366,9.648,10.782,10.792,10.329,9.431,8.723,8.739,8.320,8.616,8.390,8.784,9.437,8.963,8.670,8.550,8.295,8.599,8.589,8.451,8.776,9.665,10.631,10.499,10.234,10.059,9.457,8.788,7.994,7.627,7.296,6.843,6.594,6.342,5.958,5.845,5.567,5.469,5.571,5.514,5.532,5.124,5.243,5.451,5.599,5.495,5.347,5.363,5.180,5.140,5.132,4.789,4.532,4.682,4.654,4.521,4.454,4.369
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 36 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",11.349,12.017,12.199,12.543,12.397,12.690,12.653,12.301,12.301,12.111,11.673,11.671,10.674,10.159,10.187,9.539,10.676,10.675,10.313,9.389,8.735,8.627,8.250,8.556,8.254,8.633,9.272,8.820,8.519,8.436,8.188,8.514,8.401,8.376,8.695,9.577,10.532,10.402,10.135,9.960,9.362,8.700,7.910,7.545,7.217,6.768,6.521,6.271,5.889,5.777,5.501,5.404,5.504,5.447,5.466,5.061,5.180,5.388,5.533,5.430,5.284,5.301,5.120,5.081,5.074,4.734,4.480,4.628,4.601,4.471,4.403
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 37 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",10.812,11.502,12.179,12.319,12.560,12.356,12.575,12.499,12.158,12.105,11.852,11.542,11.531,10.528,9.923,9.956,9.316,10.448,10.437,10.136,9.275,8.717,8.577,8.275,8.517,8.212,8.508,9.139,8.709,8.459,8.384,8.006,8.346,8.343,8.316,8.633,9.509,10.456,10.324,10.057,9.883,9.287,8.628,7.842,7.478,7.152,6.708,6.460,6.212,5.833,5.719,5.446,5.350,5.447,5.391,5.408,5.008,5.127,5.333,5.476,5.377,5.232,5.248,5.069,5.031,5.024,4.687,4.435,4.582,4.555,4.427
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 38 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",10.058,10.172,10.928,11.664,11.816,12.123,12.010,12.323,12.361,12.124,12.069,11.638,11.306,11.289,10.263,9.690,9.704,9.028,10.147,10.134,9.773,9.195,8.649,8.526,8.171,8.411,8.129,8.309,9.013,8.643,8.340,8.243,7.888,8.330,8.326,8.298,8.615,9.486,10.429,10.294,10.028,9.854,9.256,8.599,7.814,7.451,7.125,6.680,6.431,6.183,5.805,5.691,5.418,5.323,5.418,5.361,5.380,4.980,5.098,5.304,5.447,5.348,5.204,5.220,5.041,5.004,4.998,4.661,4.411,4.558,4.530
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 39 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",11.483,11.400,11.439,12.147,12.722,12.704,12.919,12.657,12.820,12.765,12.362,11.906,11.509,11.167,11.221,10.199,9.680,9.707,9.068,10.293,10.276,9.703,9.153,8.568,8.462,8.077,8.298,8.045,8.192,8.916,8.528,8.265,8.112,7.865,8.302,8.299,8.270,8.585,9.452,10.391,10.255,9.993,9.811,9.217,8.561,7.776,7.412,7.083,6.639,6.388,6.142,5.765,5.650,5.380,5.284,5.379,5.322,5.342,4.945,5.061,5.267,5.409,5.312,5.169,5.184,5.007,4.969,4.964,4.631,4.382,4.527
"  BLACK NON-HISPANIC FEMALE POPULATION AGE 40 to 44 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",46.777,50.032,51.737,52.871,53.992,54.987,56.225,57.782,59.197,60.154,60.425,60.691,60.358,59.337,57.709,55.642,53.448,51.247,49.510,47.576,46.792,47.205,47.305,47.125,46.555,44.923,42.510,40.835,39.638,39.386,39.927,40.244,40.034,40.511,40.375,40.046,39.930,40.036,40.484,42.028,44.082,45.996,47.648,48.810,48.540,46.725,44.271,41.721,39.030,36.490,34.350,32.734,31.110,29.705,28.466,27.383,26.636,26.206,25.904,25.473,25.251,25.152,25.258,25.244,25.458,25.581,25.324,24.896,24.564,24.042,23.257
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 40 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",10.953,11.056,11.112,11.234,11.983,12.628,12.759,13.087,12.943,13.286,13.102,12.205,11.743,11.279,10.934,11.024,9.930,9.446,9.436,8.776,9.934,10.176,9.652,9.123,8.492,8.356,7.930,8.110,7.917,8.118,8.793,8.463,8.092,8.048,7.801,8.235,8.231,8.201,8.511,9.368,10.300,10.165,9.900,9.722,9.130,8.480,7.699,7.335,7.008,6.566,6.318,6.075,5.698,5.585,5.315,5.221,5.314,5.257,5.276,4.884,5.000,5.205,5.348,5.249,5.108,5.124,4.947,4.911,4.908,4.578,4.330
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 41 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",9.926,10.517,10.627,10.563,10.590,11.217,11.810,11.878,12.116,11.955,12.325,12.929,12.066,11.559,11.119,10.769,10.893,9.750,9.328,9.364,8.893,9.892,10.073,9.571,9.059,8.420,8.271,7.804,7.955,7.791,8.023,8.672,8.343,8.082,8.037,7.790,8.223,8.217,8.185,8.493,9.349,10.278,10.141,9.876,9.696,9.104,8.456,7.676,7.310,6.983,6.542,6.293,6.050,5.674,5.561,5.291,5.196,5.288,5.231,5.250,4.861,4.976,5.182,5.323,5.225,5.085,5.101,4.924,4.889,4.886,4.557
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 42 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",9.389,9.878,10.530,10.596,10.492,10.487,11.167,11.759,11.865,12.087,11.908,12.169,12.758,11.828,11.376,10.908,10.590,10.714,9.617,9.200,9.123,8.855,9.838,9.978,9.474,8.926,8.299,8.121,7.709,7.878,7.692,7.943,8.484,8.270,8.009,7.965,7.719,8.148,8.141,8.109,8.413,9.262,10.180,10.043,9.779,9.601,9.014,8.369,7.593,7.229,6.904,6.467,6.218,5.978,5.605,5.492,5.225,5.133,5.223,5.166,5.185,4.801,4.916,5.121,5.260,5.164,5.024,5.041,4.866,4.832,4.830
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 43 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",8.991,9.414,9.884,10.470,10.441,10.262,10.276,10.902,11.479,11.532,11.755,11.811,12.146,12.777,11.840,11.423,10.984,10.693,10.856,9.784,9.288,9.049,8.730,9.728,9.904,9.357,8.737,8.143,7.980,7.629,7.797,7.514,7.778,8.416,8.201,7.942,7.900,7.655,8.076,8.070,8.038,8.340,9.179,10.090,9.954,9.694,9.515,8.931,8.289,7.518,7.155,6.830,6.396,6.149,5.911,5.541,5.430,5.166,5.074,5.164,5.107,5.128,4.747,4.861,5.065,5.203,5.109,4.971,4.987,4.815,4.781
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 44 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",7.518,9.167,9.584,10.008,10.486,10.393,10.213,10.156,10.794,11.294,11.335,11.577,11.645,11.894,12.440,11.518,11.051,10.644,10.273,10.452,9.554,9.233,9.012,8.725,9.626,9.864,9.273,8.657,8.077,7.970,7.622,7.652,7.337,7.695,8.327,8.114,7.857,7.815,7.571,7.988,7.982,7.951,8.248,9.079,9.981,9.846,9.587,9.410,8.830,8.194,7.431,7.069,6.748,6.319,6.074,5.838,5.471,5.362,5.100,5.009,5.098,5.042,5.065,4.690,4.800,5.005,5.143,5.049,4.914,4.931,4.759
"  BLACK NON-HISPANIC FEMALE POPULATION AGE 45 to 49 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",37.142,37.424,38.777,40.620,42.751,45.024,47.973,49.058,49.849,51.070,51.966,52.310,53.574,54.407,55.155,55.721,55.878,55.220,54.187,52.639,50.922,49.477,48.087,46.688,45.321,44.953,45.201,45.129,44.567,43.941,42.319,39.582,37.833,36.845,36.725,37.321,38.082,38.369,38.808,38.665,38.337,38.212,38.303,38.724,40.196,42.161,43.975,45.545,46.637,46.344,44.572,42.186,39.702,37.094,34.633,32.551,30.991,29.431,28.087,26.895,25.866,25.161,24.750,24.474,24.074,23.872,23.793,23.908,23.909,24.130,24.264
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 45 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",7.684,7.370,9.059,9.546,9.956,10.487,10.519,10.392,10.476,11.191,11.564,11.109,11.302,11.323,11.496,11.927,11.005,10.538,10.054,9.707,9.820,9.445,9.166,8.902,8.613,9.521,9.668,9.097,8.526,7.985,7.868,7.333,7.463,7.251,7.605,8.228,8.019,7.763,7.722,7.481,7.894,7.890,7.858,8.151,8.974,9.865,9.731,9.474,9.295,8.719,8.092,7.333,6.976,6.656,6.233,5.988,5.758,5.395,5.287,5.028,4.940,5.028,4.972,4.996,4.626,4.737,4.941,5.077,4.985,4.852,4.870
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 46 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",7.351,7.405,7.085,8.712,9.127,9.442,9.966,9.951,9.857,9.888,10.553,11.331,10.949,11.195,11.248,11.496,11.989,11.033,10.635,10.208,9.958,9.768,9.405,9.115,8.870,8.578,9.450,9.583,8.997,8.443,7.931,7.681,7.192,7.415,7.205,7.555,8.173,7.964,7.706,7.668,7.429,7.836,7.831,7.799,8.090,8.908,9.792,9.655,9.400,9.218,8.645,8.021,7.266,6.906,6.587,6.167,5.923,5.696,5.336,5.228,4.971,4.887,4.972,4.919,4.942,4.576,4.686,4.889,5.025,4.935,4.803
"    BLACK NON-HISPANIC FEMALE POPULATION AGE 47 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",7.719,7.740,7.774,7.441,9.068,9.442,9.800,10.329,10.316,10.197,10.150,10.435,11.180,10.807,11.068,11.092,11.407,11.894,11.001,10.633,10.201,9.859,9.692,9.304,9.010,8.785,8.489,9.377,9.447,8.896,8.387,7.746,7.546,7.157,7.378,7.168,7.514,8.129,7.919,7.662,7.624,7.385,7.788,7.782,7.750,8.040,8.850,9.729,9.590,9.333,9.155,8.584,7.963,7.212,6.853,6.536,6.118,5.876,5.650,5.290,5.185,4.931,4.846,4.932,4.877,4.901,4.537,4.647,4.849,4.985,4.895
