"WILL, IL  [COUNTY, 17197]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 56 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.005,0.005,0.005,0.004,0.005,0.003,0.004,0.006,0.005,0.005,0.005,0.013,0.009,0.012,0.014,0.013,0.019,0.017,0.011,0.017,0.018,0.014,0.018,0.021,0.025,0.015,0.019,0.018,0.015,0.014,0.015,0.010,0.016,0.014,0.021,0.023,0.018,0.026,0.017,0.015,0.013,0.011,0.013,0.013,0.026,0.017,0.013,0.018,0.018,0.014,0.012,0.018,0.012,0.018,0.013,0.013,0.023,0.016,0.019,0.007,0.017,0.016,0.011,0.020,0.020,0.019,0.012,0.020,0.025,0.022,0.026
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 57 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.005,0.006,0.008,0.007,0.007,0.006,0.006,0.007,0.008,0.008,0.007,0.008,0.010,0.009,0.009,0.012,0.010,0.009,0.013,0.010,0.014,0.018,0.016,0.017,0.020,0.026,0.014,0.017,0.016,0.015,0.013,0.017,0.010,0.016,0.014,0.019,0.022,0.016,0.026,0.017,0.015,0.013,0.011,0.013,0.013,0.026,0.017,0.012,0.018,0.018,0.014,0.012,0.018,0.012,0.018,0.013,0.013,0.022,0.016,0.018,0.007,0.017,0.016,0.011,0.019,0.020,0.019,0.012,0.020,0.025,0.022
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 58 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.007,0.008,0.006,0.010,0.009,0.010,0.009,0.009,0.012,0.012,0.010,0.007,0.011,0.013,0.011,0.012,0.018,0.021,0.014,0.020,0.015,0.013,0.018,0.015,0.020,0.019,0.030,0.013,0.016,0.018,0.014,0.014,0.017,0.010,0.016,0.013,0.020,0.023,0.017,0.026,0.018,0.015,0.013,0.011,0.013,0.013,0.026,0.017,0.012,0.018,0.018,0.014,0.012,0.018,0.012,0.018,0.013,0.013,0.022,0.017,0.019,0.007,0.017,0.017,0.011,0.020,0.020,0.019,0.012,0.020,0.025
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 59 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.005,0.006,0.006,0.005,0.007,0.006,0.006,0.004,0.004,0.005,0.004,0.007,0.005,0.007,0.006,0.009,0.010,0.011,0.011,0.006,0.010,0.015,0.015,0.018,0.016,0.018,0.018,0.025,0.011,0.017,0.017,0.015,0.014,0.017,0.010,0.016,0.013,0.019,0.022,0.016,0.026,0.017,0.015,0.013,0.011,0.013,0.013,0.025,0.017,0.012,0.018,0.018,0.014,0.012,0.018,0.012,0.018,0.013,0.013,0.022,0.017,0.019,0.007,0.017,0.016,0.011,0.019,0.020,0.019,0.012,0.020
"  AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 60 to 64 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.011,0.013,0.012,0.014,0.014,0.018,0.017,0.021,0.025,0.024,0.022,0.023,0.033,0.040,0.041,0.038,0.039,0.038,0.047,0.056,0.052,0.048,0.058,0.061,0.060,0.065,0.074,0.076,0.092,0.082,0.081,0.087,0.087,0.077,0.078,0.070,0.068,0.066,0.071,0.077,0.084,0.095,0.100,0.095,0.087,0.079,0.068,0.064,0.074,0.079,0.080,0.084,0.089,0.078,0.074,0.080,0.073,0.074,0.073,0.074,0.077,0.080,0.082,0.077,0.080,0.074,0.069,0.070,0.083,0.085,0.080
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 60 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.002,0.002,0.002,0.002,0.002,0.005,0.005,0.005,0.007,0.006,0.004,0.002,0.014,0.007,0.010,0.010,0.008,0.012,0.015,0.014,0.011,0.009,0.014,0.016,0.018,0.015,0.018,0.015,0.024,0.013,0.012,0.018,0.015,0.014,0.016,0.010,0.015,0.013,0.019,0.022,0.016,0.026,0.017,0.015,0.013,0.011,0.013,0.013,0.025,0.017,0.012,0.018,0.018,0.014,0.012,0.018,0.012,0.018,0.013,0.013,0.022,0.016,0.019,0.007,0.017,0.016,0.011,0.019,0.020,0.019,0.012
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 61 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.002,0.002,0.002,0.003,0.005,0.006,0.006,0.007,0.009,0.009,0.006,0.006,0.003,0.014,0.007,0.007,0.016,0.007,0.011,0.014,0.011,0.011,0.010,0.014,0.012,0.017,0.015,0.020,0.015,0.025,0.012,0.017,0.018,0.015,0.014,0.016,0.010,0.015,0.013,0.019,0.022,0.016,0.026,0.017,0.015,0.013,0.011,0.013,0.013,0.025,0.017,0.012,0.018,0.018,0.014,0.012,0.018,0.012,0.018,0.013,0.013,0.022,0.016,0.019,0.007,0.017,0.016,0.011,0.019,0.020,0.019
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 62 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.005,0.006,0.005,0.003,0.008,0.006,0.007,0.011,0.007,0.007,0.011,0.010,0.015,0.014,0.011,0.012,0.010,0.013,0.012,0.018,0.013,0.020,0.014,0.023,0.013,0.017,0.018,0.015,0.013,0.015,0.010,0.014,0.013,0.019,0.022,0.016,0.026,0.017,0.015,0.013,0.011,0.013,0.013,0.025,0.017,0.012,0.018,0.018,0.014,0.012,0.018,0.012,0.018,0.012,0.013,0.022,0.016,0.018,0.007,0.017,0.016,0.011,0.019,0.020
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 63 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.004,0.006,0.005,0.006,0.003,0.004,0.002,0.002,0.001,0.002,0.002,0.004,0.005,0.005,0.005,0.008,0.001,0.002,0.005,0.002,0.008,0.010,0.011,0.012,0.010,0.012,0.011,0.018,0.012,0.017,0.017,0.025,0.013,0.017,0.017,0.015,0.013,0.015,0.010,0.014,0.013,0.019,0.022,0.016,0.026,0.016,0.015,0.013,0.011,0.013,0.013,0.024,0.017,0.012,0.018,0.018,0.014,0.012,0.018,0.012,0.018,0.012,0.013,0.022,0.016,0.018,0.007,0.017,0.016,0.011,0.019
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 64 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.007,0.003,0.005,0.007,0.008,0.006,0.007,0.006,0.006,0.011,0.008,0.007,0.011,0.009,0.007,0.009,0.012,0.010,0.021,0.013,0.017,0.014,0.024,0.013,0.016,0.016,0.015,0.013,0.015,0.009,0.014,0.012,0.019,0.021,0.016,0.024,0.016,0.014,0.012,0.011,0.013,0.013,0.024,0.016,0.012,0.018,0.017,0.014,0.012,0.018,0.012,0.017,0.012,0.013,0.022,0.016,0.018,0.007,0.017,0.016,0.010
"  AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 65 to 69 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.017,0.020,0.018,0.019,0.019,0.019,0.019,0.020,0.018,0.018,0.019,0.018,0.018,0.019,0.025,0.021,0.025,0.028,0.035,0.036,0.034,0.033,0.037,0.043,0.047,0.042,0.040,0.047,0.046,0.055,0.063,0.070,0.073,0.086,0.080,0.082,0.084,0.082,0.070,0.072,0.066,0.063,0.062,0.069,0.075,0.082,0.092,0.096,0.090,0.082,0.077,0.067,0.064,0.072,0.076,0.077,0.081,0.085,0.076,0.071,0.078,0.073,0.073,0.072,0.071,0.076,0.080,0.082,0.078,0.079,0.074
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 65 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.004,0.005,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.003,0.006,0.006,0.007,0.006,0.005,0.009,0.007,0.007,0.007,0.010,0.009,0.005,0.009,0.013,0.010,0.020,0.013,0.017,0.014,0.024,0.013,0.016,0.016,0.014,0.013,0.015,0.009,0.014,0.012,0.019,0.021,0.016,0.024,0.016,0.014,0.013,0.011,0.013,0.013,0.024,0.016,0.011,0.017,0.017,0.014,0.012,0.018,0.012,0.017,0.012,0.013,0.022,0.016,0.018,0.007,0.017,0.016
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 66 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.005,0.006,0.006,0.007,0.007,0.008,0.008,0.010,0.010,0.010,0.007,0.007,0.007,0.013,0.009,0.006,0.009,0.013,0.009,0.019,0.013,0.017,0.014,0.024,0.013,0.017,0.016,0.014,0.013,0.015,0.009,0.014,0.012,0.019,0.021,0.016,0.025,0.016,0.014,0.013,0.011,0.013,0.013,0.024,0.016,0.011,0.018,0.018,0.014,0.012,0.018,0.012,0.018,0.012,0.013,0.022,0.016,0.018,0.007,0.017
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 67 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.003,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.005,0.002,0.002,0.003,0.005,0.006,0.007,0.006,0.010,0.008,0.008,0.006,0.011,0.008,0.005,0.009,0.011,0.009,0.020,0.013,0.016,0.014,0.023,0.013,0.016,0.016,0.013,0.012,0.015,0.009,0.014,0.012,0.019,0.021,0.016,0.024,0.016,0.014,0.013,0.011,0.013,0.013,0.024,0.016,0.011,0.017,0.017,0.014,0.012,0.018,0.012,0.017,0.012,0.013,0.022,0.016,0.018,0.007
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 68 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.005,0.006,0.006,0.005,0.005,0.004,0.005,0.004,0.004,0.002,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.005,0.004,0.006,0.004,0.011,0.008,0.010,0.007,0.012,0.009,0.007,0.010,0.011,0.009,0.020,0.013,0.016,0.014,0.024,0.013,0.015,0.016,0.014,0.012,0.015,0.009,0.014,0.012,0.019,0.021,0.015,0.024,0.016,0.014,0.013,0.010,0.013,0.013,0.024,0.016,0.011,0.017,0.017,0.014,0.012,0.018,0.012,0.017,0.012,0.014,0.023,0.016,0.018
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 69 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.004,0.004,0.005,0.006,0.006,0.006,0.006,0.008,0.006,0.008,0.006,0.003,0.003,0.002,0.006,0.003,0.004,0.006,0.009,0.006,0.005,0.005,0.004,0.010,0.009,0.010,0.005,0.011,0.007,0.005,0.011,0.011,0.009,0.019,0.013,0.016,0.014,0.023,0.012,0.015,0.016,0.013,0.012,0.015,0.009,0.014,0.012,0.018,0.021,0.015,0.023,0.016,0.014,0.012,0.010,0.013,0.013,0.023,0.016,0.011,0.017,0.017,0.014,0.012,0.017,0.012,0.017,0.012,0.014,0.021,0.016
"  AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 70 to 74 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.002,0.003,0.002,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.009,0.015,0.014,0.010,0.009,0.012,0.015,0.017,0.015,0.018,0.018,0.022,0.031,0.032,0.033,0.033,0.038,0.036,0.041,0.039,0.039,0.041,0.045,0.043,0.054,0.059,0.065,0.068,0.079,0.071,0.075,0.077,0.077,0.067,0.071,0.065,0.061,0.060,0.066,0.072,0.077,0.087,0.090,0.087,0.078,0.073,0.062,0.059,0.068,0.073,0.074,0.079,0.084,0.075,0.070,0.077,0.071,0.071,0.069,0.071,0.076
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 70 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.006,0.003,0.003,0.003,0.005,0.007,0.008,0.009,0.011,0.009,0.005,0.008,0.005,0.010,0.008,0.009,0.006,0.011,0.008,0.005,0.010,0.011,0.009,0.019,0.012,0.016,0.013,0.022,0.011,0.015,0.016,0.013,0.012,0.015,0.009,0.013,0.012,0.018,0.020,0.015,0.023,0.015,0.014,0.011,0.010,0.012,0.012,0.023,0.016,0.011,0.017,0.017,0.014,0.011,0.017,0.012,0.017,0.012,0.013,0.021
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 71 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004,0.007,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.005,0.010,0.004,0.007,0.005,0.009,0.009,0.008,0.006,0.011,0.007,0.005,0.010,0.011,0.009,0.019,0.012,0.016,0.013,0.022,0.011,0.015,0.016,0.013,0.012,0.015,0.009,0.013,0.012,0.018,0.020,0.015,0.023,0.015,0.014,0.011,0.010,0.012,0.012,0.023,0.016,0.011,0.017,0.017,0.014,0.012,0.017,0.012,0.017,0.012,0.014
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 72 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.003,0.003,0.002,0.003,0.002,0.003,0.001,0.003,0.002,0.006,0.010,0.003,0.005,0.005,0.010,0.007,0.009,0.007,0.012,0.008,0.005,0.010,0.011,0.008,0.019,0.012,0.015,0.013,0.022,0.011,0.015,0.016,0.013,0.012,0.014,0.009,0.013,0.012,0.017,0.020,0.015,0.023,0.015,0.014,0.011,0.010,0.012,0.012,0.023,0.016,0.011,0.017,0.017,0.014,0.011,0.017,0.012,0.017,0.012
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 73 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.001,0.001,0.001,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.000,0.001,0.001,0.007,0.010,0.004,0.007,0.004,0.009,0.006,0.009,0.007,0.011,0.008,0.005,0.010,0.011,0.008,0.019,0.012,0.014,0.013,0.022,0.011,0.015,0.016,0.013,0.012,0.014,0.009,0.013,0.012,0.017,0.020,0.015,0.023,0.015,0.014,0.011,0.010,0.012,0.012,0.023,0.016,0.011,0.017,0.017,0.014,0.011,0.017,0.012,0.017
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 74 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.000,0.002,0.007,0.009,0.004,0.006,0.006,0.009,0.004,0.008,0.007,0.011,0.008,0.005,0.009,0.010,0.008,0.017,0.011,0.014,0.013,0.022,0.011,0.015,0.016,0.013,0.012,0.014,0.009,0.013,0.012,0.017,0.020,0.015,0.023,0.015,0.014,0.011,0.010,0.012,0.012,0.023,0.016,0.011,0.017,0.017,0.014,0.011,0.017,0.012
"  AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 75 to 79 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.004,0.004,0.005,0.005,0.005,0.006,0.007,0.006,0.006,0.006,0.007,0.007,0.008,0.007,0.009,0.011,0.010,0.010,0.013,0.014,0.012,0.012,0.009,0.007,0.013,0.015,0.019,0.025,0.029,0.027,0.022,0.030,0.032,0.037,0.038,0.036,0.035,0.039,0.035,0.046,0.053,0.058,0.061,0.075,0.068,0.069,0.069,0.070,0.062,0.065,0.059,0.057,0.055,0.059,0.064,0.072,0.080,0.085,0.080,0.073,0.069,0.059,0.058,0.067,0.069,0.070,0.076,0.080,0.070,0.066,0.073
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 75 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.001,0.001,0.001,0.000,0.001,0.003,0.003,0.003,0.004,0.002,0.002,0.001,0.001,0.001,0.007,0.008,0.004,0.006,0.006,0.007,0.004,0.009,0.007,0.011,0.008,0.005,0.009,0.010,0.008,0.017,0.011,0.014,0.013,0.021,0.011,0.014,0.014,0.012,0.012,0.014,0.007,0.013,0.012,0.017,0.018,0.015,0.022,0.015,0.013,0.011,0.010,0.012,0.012,0.023,0.015,0.011,0.017,0.017,0.013,0.011,0.017
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 76 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.002,0.001,0.002,0.001,0.005,0.006,0.003,0.006,0.005,0.007,0.004,0.009,0.007,0.011,0.008,0.004,0.009,0.009,0.008,0.017,0.011,0.014,0.013,0.021,0.011,0.014,0.014,0.012,0.012,0.014,0.008,0.013,0.011,0.016,0.019,0.014,0.022,0.015,0.013,0.011,0.010,0.012,0.012,0.022,0.015,0.011,0.016,0.016,0.013,0.011
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 77 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.002,0.001,0.002,0.001,0.006,0.007,0.004,0.005,0.003,0.007,0.004,0.008,0.007,0.009,0.007,0.004,0.008,0.009,0.008,0.017,0.011,0.014,0.013,0.020,0.011,0.014,0.014,0.012,0.012,0.013,0.007,0.012,0.011,0.016,0.018,0.014,0.022,0.015,0.013,0.011,0.010,0.012,0.012,0.022,0.015,0.011,0.016,0.016,0.013
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 78 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.002,0.002,0.003,0.006,0.003,0.002,0.003,0.002,0.001,0.001,0.002,0.007,0.006,0.004,0.005,0.005,0.007,0.004,0.008,0.007,0.009,0.007,0.004,0.008,0.009,0.007,0.016,0.011,0.013,0.011,0.019,0.011,0.014,0.014,0.012,0.011,0.013,0.007,0.012,0.010,0.016,0.018,0.013,0.021,0.015,0.013,0.011,0.009,0.011,0.011,0.022,0.015,0.011,0.016,0.016
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 79 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.004,0.002,0.001,0.002,0.000,0.001,0.002,0.007,0.006,0.003,0.005,0.005,0.007,0.004,0.007,0.006,0.009,0.006,0.004,0.008,0.009,0.007,0.016,0.010,0.013,0.011,0.019,0.010,0.013,0.014,0.012,0.010,0.012,0.007,0.012,0.010,0.016,0.017,0.013,0.020,0.013,0.013,0.011,0.009,0.011,0.011,0.021,0.014,0.010,0.016
"  AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 80 to 84 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.004,0.002,0.003,0.004,0.003,0.003,0.002,0.004,0.006,0.009,0.007,0.008,0.009,0.007,0.007,0.006,0.015,0.017,0.023,0.023,0.025,0.024,0.023,0.025,0.023,0.029,0.030,0.031,0.031,0.035,0.032,0.039,0.045,0.051,0.052,0.062,0.056,0.060,0.061,0.060,0.054,0.055,0.051,0.050,0.047,0.051,0.058,0.061,0.070,0.073,0.070,0.065,0.061,0.052,0.050,0.058,0.060,0.063
"    AMERICAN INDIAN and ALASKA NATIVE NON-HISPANIC POPULATION AGE 80 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.002,0.001,0.002,0.000,0.002,0.001,0.008,0.006,0.004,0.004,0.005,0.006,0.004,0.007,0.005,0.009,0.006,0.004,0.008,0.009,0.006,0.015,0.010,0.013,0.011,0.019,0.009,0.013,0.014,0.011,0.010,0.012,0.007,0.012,0.010,0.015,0.017,0.012,0.020,0.013,0.012,0.011,0.009,0.010,0.011,0.020,0.013,0.010
